show_id,release_year,date_added,year_difference
s72,2021,2021-09-14,0.0
s73,2021,2021-09-14,0.0
s74,2018,2021-09-14,3.0
s75,2021,2021-09-14,0.0
s76,2021,2021-09-14,0.0
s77,2013,2021-09-14,8.0
s78,2021,2021-09-11,0.0
s79,2020,2021-09-11,1.0
s80,2021,2021-09-11,0.0
s81,2021,2021-09-10,0.0
s82,2021,2021-09-10,0.0
s83,2021,2021-09-10,0.0
s84,2021,2021-09-10,0.0
s85,2020,2021-09-10,1.0
s86,2021,2021-09-10,0.0
s87,2021,2021-09-10,0.0
s88,2019,2021-09-10,2.0
s89,2021,2021-09-09,0.0
s90,2017,2021-09-09,4.0
s91,2019,2021-09-09,2.0
s92,2021,2021-09-09,0.0
s93,2021,2021-09-08,0.0
s94,2021,2021-09-08,0.0
s95,2018,2021-09-08,3.0
s96,2021,2021-09-08,0.0
s97,2018,2021-09-07,3.0
s98,2021,2021-09-07,0.0
s99,2021,2021-09-07,0.0
s100,2021,2021-09-07,0.0
s101,2019,2021-09-07,2.0
s102,2021,2021-09-07,0.0
s103,2021,2021-09-06,0.0
s104,2020,2021-09-06,1.0
s105,2016,2021-09-06,5.0
s106,2017,2021-09-05,4.0
s107,2021,2021-09-05,0.0
s108,2018,2021-09-04,3.0
s109,2021,2021-09-03,0.0
s110,2021,2021-09-03,0.0
s111,2021,2021-09-03,0.0
s112,2021,2021-09-03,0.0
s113,2021,2021-09-03,0.0
s114,2021,2021-09-02,0.0
s115,1994,2021-09-02,27.0
s116,2009,2021-09-02,12.0
s117,2015,2021-09-02,6.0
s118,2021,2021-09-02,0.0
s119,2017,2021-09-02,4.0
s120,2020,2021-09-02,1.0
s121,2021,2021-09-02,0.0
s122,2019,2021-09-02,2.0
s123,2003,2021-09-02,18.0
s124,2012,2021-09-02,9.0
s125,2013,2021-09-02,8.0
s126,2021,2021-09-02,0.0
s127,2020,2021-09-02,1.0
s128,2004,2021-09-01,17.0
s129,2017,2021-09-01,4.0
s130,2005,2021-09-01,16.0
s131,2021,2021-09-01,0.0
s132,1982,2021-09-01,39.0
s133,2021,2021-09-01,0.0
s134,2015,2021-09-01,6.0
s135,1994,2021-09-01,27.0
s136,1993,2021-09-01,28.0
s137,2003,2021-09-01,18.0
s138,2001,2021-09-01,20.0
s139,2010,2021-09-01,11.0
s140,1989,2021-09-01,32.0
s141,2014,2021-09-01,7.0
s142,2015,2021-09-01,6.0
s143,2007,2021-09-01,14.0
s144,2011,2021-09-01,10.0
s145,1990,2021-09-01,31.0
s146,1991,2021-09-01,30.0
s147,1994,2021-09-01,27.0
s148,2021,2021-09-01,0.0
s149,2020,2021-09-01,1.0
s150,1998,2021-09-01,23.0
s151,1999,2021-09-01,22.0
s152,2005,2021-09-01,16.0
s153,2016,2021-09-01,5.0
s154,2016,2021-09-01,5.0
s155,2015,2021-09-01,6.0
s156,1986,2021-09-01,35.0
s157,2010,2021-09-01,11.0
s158,2018,2021-09-01,3.0
s159,2003,2021-09-01,18.0
s160,2010,2021-09-01,11.0
s161,1992,2021-09-01,29.0
s162,1996,2021-09-01,25.0
s163,2017,2021-09-01,4.0
s164,2003,2021-09-01,18.0
s165,1999,2021-09-01,22.0
s166,2019,2021-09-01,2.0
s167,1984,2021-09-01,37.0
s168,2008,2021-09-01,13.0
s169,2001,2021-09-01,20.0
s170,2006,2021-09-01,15.0
s171,1997,2021-09-01,24.0
s172,2017,2021-09-01,4.0
s173,2003,2021-09-01,18.0
s174,2015,2021-09-01,6.0
s175,2003,2021-09-01,18.0
s176,1980,2021-09-01,41.0
s177,1986,2021-09-01,35.0
s178,1961,2021-09-01,60.0
s179,2014,2021-09-01,7.0
s180,1996,2021-09-01,25.0
s181,2000,2021-09-01,21.0
s182,2021,2021-09-01,0.0
s183,2008,2021-09-01,13.0
s184,1993,2021-08-31,28.0
s185,2021,2021-08-31,0.0
s186,2021,2021-08-31,0.0
s187,2021,2021-08-29,0.0
s188,2021,2021-08-29,0.0
s189,2008,2021-08-28,13.0
s190,2020,2021-08-28,1.0
s191,2021,2021-08-28,0.0
s192,2017,2021-08-28,4.0
s193,2008,2021-08-27,13.0
s194,2021,2021-08-27,0.0
s195,2002,2021-08-27,19.0
s196,2008,2021-08-27,13.0
s197,2021,2021-08-27,0.0
s198,2021,2021-08-27,0.0
s199,2021,2021-08-27,0.0
s200,2006,2021-08-27,15.0
s201,2004,2021-08-27,17.0
s202,2003,2021-08-27,18.0
s203,2005,2021-08-27,16.0
s204,2016,2021-08-27,5.0
s205,2012,2021-08-27,9.0
s206,2001,2021-08-27,20.0
s207,2010,2021-08-27,11.0
s208,2008,2021-08-27,13.0
s209,2010,2021-08-27,11.0
s210,2013,2021-08-27,8.0
s211,2011,2021-08-27,10.0
s212,2014,2021-08-27,7.0
s213,2016,2021-08-27,5.0
s214,2021,2021-08-27,0.0
s215,2021,2021-08-27,0.0
s216,2007,2021-08-27,14.0
s217,2011,2021-08-27,10.0
s218,2011,2021-08-27,10.0
s219,2021,2021-08-27,0.0
s220,2021,2021-08-26,0.0
s221,2021,2021-08-26,0.0
s222,2021,2021-08-25,0.0
s223,2021,2021-08-25,0.0
s224,2021,2021-08-25,0.0
s225,2021,2021-08-25,0.0
s226,2021,2021-08-25,0.0
s227,2021,2021-08-25,0.0
s228,2020,2021-08-25,1.0
s229,2014,2021-08-25,7.0
s230,2020,2021-08-25,1.0
s231,2021,2021-08-25,0.0
s232,2021,2021-08-25,0.0
s233,2019,2021-08-25,2.0
s234,2021,2021-08-24,0.0
s235,2021,2021-08-24,0.0
s236,2021,2021-08-24,0.0
s237,2021,2021-08-23,0.0
s238,2021,2021-08-23,0.0
s239,2021,2021-08-23,0.0
s240,2021,2021-08-23,0.0
s241,2021,2021-08-23,0.0
s242,2021,2021-08-21,0.0
s243,2021,2021-08-20,0.0
s244,2021,2021-08-20,0.0
s245,2018,2021-08-20,3.0
s246,2021,2021-08-20,0.0
s247,2021,2021-08-20,0.0
s248,2021,2021-08-20,0.0
s249,2021,2021-08-20,0.0
s250,2021,2021-08-20,0.0
s251,2020,2021-08-19,1.0
s252,2011,2021-08-19,10.0
s253,2021,2021-08-18,0.0
s254,1995,2021-08-18,26.0
s255,2021,2021-08-18,0.0
s256,2021,2021-08-18,0.0
s257,2020,2021-08-18,1.0
s258,2015,2021-08-18,6.0
s259,2020,2021-08-18,1.0
s260,2018,2021-08-18,3.0
s261,2020,2021-08-18,1.0
s262,2021,2021-08-18,0.0
s263,2021,2021-08-18,0.0
s264,2016,2021-08-16,5.0
s265,2014,2021-08-16,7.0
s266,2018,2021-08-15,3.0
s267,2020,2021-08-15,1.0
s268,1993,2021-08-15,28.0
s269,2020,2021-08-15,1.0
s270,2015,2021-08-15,6.0
s271,2021,2021-08-13,0.0
s272,2021,2021-08-13,0.0
s273,2021,2021-08-13,0.0
s274,2021,2021-08-13,0.0
s275,2021,2021-08-13,0.0
s276,2021,2021-08-13,0.0
s277,2021,2021-08-13,0.0
s278,2021,2021-08-12,0.0
s279,2021,2021-08-12,0.0
s280,2021,2021-08-12,0.0
s281,2021,2021-08-11,0.0
s282,2016,2021-08-11,5.0
s283,2020,2021-08-11,1.0
s284,2021,2021-08-11,0.0
s285,2021,2021-08-11,0.0
s286,2013,2021-08-11,8.0
s287,2021,2021-08-10,0.0
s288,2021,2021-08-10,0.0
s289,2018,2021-08-10,3.0
s290,2019,2021-08-10,2.0
s291,2021,2021-08-10,0.0
s292,2021,2021-08-09,0.0
s293,2012,2021-08-08,9.0
s294,2021,2021-08-08,0.0
s295,2020,2021-08-07,1.0
s296,2021,2021-08-07,0.0
s297,2021,2021-08-06,0.0
s298,2021,2021-08-06,0.0
s299,2020,2021-08-06,1.0
s300,2021,2021-08-06,0.0
s301,2021,2021-08-06,0.0
s302,2013,2021-08-05,8.0
s303,2013,2021-08-05,8.0
s304,1985,2021-08-05,36.0
s305,2021,2021-08-05,0.0
s306,1993,2021-08-05,28.0
s307,2016,2021-08-04,5.0
s308,2021,2021-08-04,0.0
s309,2012,2021-08-04,9.0
s310,2021,2021-08-04,0.0
s311,2021,2021-08-04,0.0
s312,2021,2021-08-04,0.0
s313,2021,2021-08-04,0.0
s314,2009,2021-08-03,12.0
s315,1995,2021-08-03,26.0
s316,2010,2021-08-03,11.0
s317,2011,2021-08-03,10.0
s318,2021,2021-08-03,0.0
s319,2021,2021-08-03,0.0
s320,2005,2021-08-03,16.0
s321,2021,2021-08-03,0.0
s322,2013,2021-08-03,8.0
s323,2008,2021-08-03,13.0
s324,2012,2021-08-01,9.0
s325,2020,2021-08-01,1.0
s326,1992,2021-08-01,29.0
s327,1993,2021-08-01,28.0
s328,2007,2021-08-01,14.0
s329,2016,2021-08-01,5.0
s330,2002,2021-08-01,19.0
s331,2009,2021-08-01,12.0
s332,2020,2021-08-01,1.0
s333,1999,2021-08-01,22.0
s334,1986,2021-08-01,35.0
s335,2019,2021-08-01,2.0
s336,2006,2021-08-01,15.0
s337,2010,2021-08-01,11.0
s338,2007,2021-08-01,14.0
s339,2014,2021-08-01,7.0
s340,2021,2021-08-01,0.0
s341,2010,2021-08-01,11.0
s342,1999,2021-08-01,22.0
s343,1995,2021-08-01,26.0
s344,1991,2021-08-01,30.0
s345,1994,2021-08-01,27.0
s346,2015,2021-08-01,6.0
s347,2008,2021-08-01,13.0
s348,2009,2021-08-01,12.0
s349,2019,2021-08-01,2.0
s350,2003,2021-08-01,18.0
s351,2000,2021-08-01,21.0
s352,2004,2021-08-01,17.0
s353,2016,2021-08-01,5.0
s354,2013,2021-08-01,8.0
s355,1991,2021-08-01,30.0
s356,2011,2021-08-01,10.0
s357,2010,2021-08-01,11.0
s358,2004,2021-08-01,17.0
s359,1995,2021-08-01,26.0
s360,2000,2021-08-01,21.0
s361,2010,2021-08-01,11.0
s362,2021,2021-07-31,0.0
s363,2018,2021-07-31,3.0
s364,2021,2021-07-31,0.0
s365,2021,2021-07-30,0.0
s366,2014,2021-07-30,7.0
s367,2021,2021-07-30,0.0
s368,2020,2021-07-30,1.0
s369,2009,2021-07-30,12.0
s370,2021,2021-07-30,0.0
s371,2021,2021-07-30,0.0
s372,2009,2021-07-30,12.0
s373,2021,2021-07-30,0.0
s374,2021,2021-07-30,0.0
s375,2013,2021-07-29,8.0
s376,2021,2021-07-29,0.0
s377,2021,2021-07-29,0.0
s378,2021,2021-07-28,0.0
s379,2019,2021-07-28,2.0
s380,2021,2021-07-28,0.0
s381,2021,2021-07-28,0.0
s382,2021,2021-07-28,0.0
s383,2021,2021-07-27,0.0
s384,2012,2021-07-27,9.0
s385,2021,2021-07-27,0.0
s386,2021,2021-07-27,0.0
s387,2021,2021-07-27,0.0
s388,2021,2021-07-27,0.0
s389,2021,2021-07-27,0.0
s390,2019,2021-07-27,2.0
s391,2019,2021-07-26,2.0
s392,2020,2021-07-26,1.0
s393,2012,2021-07-24,9.0
s394,2021,2021-07-23,0.0
s395,2021,2021-07-23,0.0
s396,2021,2021-07-23,0.0
s397,2021,2021-07-23,0.0
s398,2021,2021-07-23,0.0
s399,2021,2021-07-23,0.0
s400,2021,2021-07-23,0.0
s401,2021,2021-07-23,0.0
s402,2021,2021-07-23,0.0
s403,2021,2021-07-23,0.0
s404,2021,2021-07-23,0.0
s405,2021,2021-07-22,0.0
s406,2015,2021-07-22,6.0
s407,2013,2021-07-22,8.0
s408,2009,2021-07-22,12.0
s409,2011,2021-07-22,10.0
s410,2010,2021-07-22,11.0
s411,2013,2021-07-22,8.0
s412,2013,2021-07-22,8.0
s413,2013,2021-07-22,8.0
s414,2013,2021-07-22,8.0
s415,2012,2021-07-22,9.0
s416,2009,2021-07-22,12.0
s417,2013,2021-07-22,8.0
s418,2015,2021-07-22,6.0
s419,2019,2021-07-22,2.0
s420,2010,2021-07-22,11.0
s421,2012,2021-07-22,9.0
s422,2014,2021-07-22,7.0
s423,2011,2021-07-22,10.0
s424,2011,2021-07-22,10.0
s425,2012,2021-07-22,9.0
s426,2019,2021-07-22,2.0
s427,2021,2021-07-22,0.0
s428,2019,2021-07-22,2.0
s429,2021,2021-07-22,0.0
s430,2020,2021-07-21,1.0
s431,2021,2021-07-21,0.0
s432,2021,2021-07-21,0.0
s433,2021,2021-07-21,0.0
s434,2020,2021-07-20,1.0
s435,2020,2021-07-20,1.0
s436,2019,2021-07-20,2.0
s437,2021,2021-07-19,0.0
s438,2021,2021-07-17,0.0
s439,2020,2021-07-16,1.0
s440,2021,2021-07-16,0.0
s441,2021,2021-07-16,0.0
s442,2021,2021-07-16,0.0
s443,2021,2021-07-16,0.0
s444,1999,2021-07-16,22.0
s445,2021,2021-07-16,0.0
s446,2017,2021-07-16,4.0
s447,2017,2021-07-16,4.0
s448,2011,2021-07-16,10.0
s449,2012,2021-07-16,9.0
s450,2010,2021-07-16,11.0
s451,2009,2021-07-16,12.0
s452,2008,2021-07-16,13.0
s453,2021,2021-07-15,0.0
s454,2021,2021-07-15,0.0
s455,1983,2021-07-15,38.0
s456,2021,2021-07-15,0.0
s457,2019,2021-07-15,2.0
s458,2021,2021-07-15,0.0
s459,2021,2021-07-15,0.0
s460,2021,2021-07-15,0.0
s461,2007,2021-07-15,14.0
s462,2019,2021-07-15,2.0
s463,2019,2021-07-15,2.0
s464,2021,2021-07-14,0.0
s465,2021,2021-07-14,0.0
s466,2021,2021-07-14,0.0
s467,2021,2021-07-14,0.0
s468,2021,2021-07-14,0.0
s469,2021,2021-07-14,0.0
s470,2019,2021-07-13,2.0
s471,2021,2021-07-13,0.0
s472,2021,2021-07-13,0.0
s473,2021,2021-07-13,0.0
s474,2020,2021-07-12,1.0
s475,2015,2021-07-10,6.0
s476,2019,2021-07-10,2.0
s477,2016,2021-07-10,5.0
s478,2021,2021-07-09,0.0
s479,2021,2021-07-09,0.0
s480,2021,2021-07-09,0.0
s481,2020,2021-07-09,1.0
s482,2021,2021-07-09,0.0
s483,2021,2021-07-09,0.0
s484,2021,2021-07-09,0.0
s485,2021,2021-07-09,0.0
s486,2021,2021-07-09,0.0
s487,2016,2021-07-09,5.0
s488,2021,2021-07-09,0.0
s489,2021,2021-07-09,0.0
s490,2017,2021-07-08,4.0
s491,2021,2021-07-08,0.0
s492,2017,2021-07-08,4.0
s493,2018,2021-07-08,3.0
s494,2021,2021-07-08,0.0
s495,2015,2021-07-08,6.0
s496,2019,2021-07-07,2.0
s497,2014,2021-07-07,7.0
s498,2021,2021-07-07,0.0
s499,2020,2021-07-07,1.0
s500,2021,2021-07-07,0.0
s501,2021,2021-07-07,0.0
s502,2020,2021-07-07,1.0
s503,2010,2021-07-07,11.0
s504,2021,2021-07-07,0.0
s505,2021,2021-07-07,0.0
s506,2020,2021-07-07,1.0
s507,2021,2021-07-07,0.0
s508,2019,2021-07-07,2.0
s509,2019,2021-07-06,2.0
s510,2019,2021-07-06,2.0
s511,2016,2021-07-06,5.0
s512,2017,2021-07-06,4.0
s513,2007,2021-07-06,14.0
s514,2018,2021-07-06,3.0
s515,2019,2021-07-06,2.0
s516,2019,2021-07-06,2.0
s517,2021,2021-07-06,0.0
s518,2017,2021-07-06,4.0
s519,2020,2021-07-06,1.0
s520,2020,2021-07-06,1.0
s521,2021,2021-07-06,0.0
s522,2021,2021-07-06,0.0
s523,2015,2021-07-06,6.0
s524,2019,2021-07-06,2.0
s525,2019,2021-07-06,2.0
s526,2018,2021-07-06,3.0
s527,2019,2021-07-06,2.0
s528,2016,2021-07-06,5.0
s529,2012,2021-07-06,9.0
s530,1976,2021-07-06,45.0
s531,2015,2021-07-06,6.0
s532,2018,2021-07-06,3.0
s533,2019,2021-07-06,2.0
s534,2021,2021-07-06,0.0
s535,2019,2021-07-06,2.0
s536,2015,2021-07-06,6.0
s537,2018,2021-07-06,3.0
s538,2018,2021-07-06,3.0
s539,2021,2021-07-06,0.0
s540,2020,2021-07-06,1.0
s541,2020,2021-07-06,1.0
s542,2018,2021-07-06,3.0
s543,1959,2021-07-06,62.0
s544,2020,2021-07-06,1.0
s545,2021,2021-07-06,0.0
s546,2020,2021-07-06,1.0
s547,2021,2021-07-06,0.0
s548,2021,2021-07-04,0.0
s549,2020,2021-07-03,1.0
s550,2020,2021-07-02,1.0
s551,2021,2021-07-02,0.0
s552,2021,2021-07-02,0.0
s553,2020,2021-07-02,1.0
s554,2019,2021-07-02,2.0
s555,2020,2021-07-02,1.0
s556,2013,2021-07-02,8.0
s557,2021,2021-07-02,0.0
s558,2018,2021-07-02,3.0
s559,2012,2021-07-01,9.0
s560,1997,2021-07-01,24.0
s561,2021,2021-07-01,0.0
s562,2002,2021-07-01,19.0
s563,1997,2021-07-01,24.0
s564,1999,2021-07-01,22.0
s565,1997,2021-07-01,24.0
s566,2020,2021-07-01,1.0
s567,2000,2021-07-01,21.0
s568,1995,2021-07-01,26.0
s569,1993,2021-07-01,28.0
s570,2019,2021-07-01,2.0
s571,2021,2021-07-01,0.0
s572,2021,2021-07-01,0.0
s573,2019,2021-07-01,2.0
s574,2008,2021-07-01,13.0
s575,2011,2021-07-01,10.0
s576,2010,2021-07-01,11.0
s577,2019,2021-07-01,2.0
s578,2021,2021-07-01,0.0
s579,2005,2021-07-01,16.0
s580,1988,2021-07-01,33.0
s581,2021,2021-07-01,0.0
s582,1995,2021-07-01,26.0
s583,2016,2021-07-01,5.0
s584,2011,2021-07-01,10.0
s585,2001,2021-07-01,20.0
s586,2018,2021-07-01,3.0
s587,1992,2021-07-01,29.0
s588,2020,2021-07-01,1.0
s589,2018,2021-07-01,3.0
s590,2019,2021-07-01,2.0
s591,2016,2021-07-01,5.0
s592,2008,2021-07-01,13.0
s593,2010,2021-07-01,11.0
s594,2000,2021-07-01,21.0
s595,2009,2021-07-01,12.0
s596,1999,2021-07-01,22.0
s597,2019,2021-07-01,2.0
s598,2006,2021-07-01,15.0
s599,2010,2021-07-01,11.0
s600,2019,2021-07-01,2.0
s601,1997,2021-07-01,24.0
s602,1984,2021-07-01,37.0
s603,1986,2021-07-01,35.0
s604,1989,2021-07-01,32.0
s605,2003,2021-07-01,18.0
s606,1980,2021-07-01,41.0
s607,2006,2021-07-01,15.0
s608,2008,2021-07-01,13.0
s609,2002,2021-07-01,19.0
s610,2010,2021-07-01,11.0
s611,2003,2021-07-01,18.0
s612,2012,2021-07-01,9.0
s613,2009,2021-07-01,12.0
s614,2020,2021-07-01,1.0
s615,1998,2021-07-01,23.0
s616,1998,2021-07-01,23.0
s617,2019,2021-07-01,2.0
s618,2021,2021-07-01,0.0
s619,2021,2021-06-30,0.0
s620,2020,2021-06-30,1.0
s621,2019,2021-06-30,2.0
s622,2020,2021-06-30,1.0
s623,2019,2021-06-30,2.0
s624,2021,2021-06-30,0.0
s625,2021,2021-06-30,0.0
s626,2021,2021-06-30,0.0
s627,2021,2021-06-30,0.0
s628,2020,2021-06-30,1.0
s629,2021,2021-06-29,0.0
s630,2020,2021-06-28,1.0
s631,2012,2021-06-28,9.0
s632,2021,2021-06-28,0.0
s633,2019,2021-06-28,2.0
s634,2018,2021-06-26,3.0
s635,2019,2021-06-26,2.0
s636,2010,2021-06-25,11.0
s637,2021,2021-06-25,0.0
s638,2021,2021-06-25,0.0
s639,2021,2021-06-25,0.0
s640,2021,2021-06-24,0.0
s641,2021,2021-06-24,0.0
s642,2021,2021-06-24,0.0
s643,2021,2021-06-24,0.0
s644,2021,2021-06-24,0.0
s645,2021,2021-06-23,0.0
s646,2021,2021-06-23,0.0
s647,2021,2021-06-23,0.0
s648,2021,2021-06-23,0.0
s649,2021,2021-06-23,0.0
s650,2019,2021-06-22,2.0
s651,2016,2021-06-22,5.0
s652,2003,2021-06-22,18.0
s653,2004,2021-06-22,17.0
s654,2021,2021-06-22,0.0
s655,2014,2021-06-21,7.0
s656,2016,2021-06-21,5.0
s657,2015,2021-06-21,6.0
s658,2001,2021-06-21,20.0
s659,2021,2021-06-20,0.0
s660,2018,2021-06-19,3.0
s661,2021,2021-06-19,0.0
s662,2018,2021-06-19,3.0
s663,2018,2021-06-19,3.0
s664,2019,2021-06-19,2.0
s665,2020,2021-06-19,1.0
s666,2020,2021-06-19,1.0
s667,2020,2021-06-19,1.0
s668,2015,2021-06-19,6.0
s669,2018,2021-06-19,3.0
s670,2020,2021-06-19,1.0
s671,1981,2021-06-19,40.0
s672,1982,2021-06-19,39.0
s673,1988,2021-06-19,33.0
s674,2019,2021-06-19,2.0
s675,2019,2021-06-19,2.0
s676,2018,2021-06-19,3.0
s677,2019,2021-06-19,2.0
s678,2020,2021-06-19,1.0
s679,2018,2021-06-19,3.0
s680,2018,2021-06-19,3.0
s681,2020,2021-06-19,1.0
s682,2018,2021-06-19,3.0
s683,2021,2021-06-19,0.0
s684,2021,2021-06-18,0.0
s685,2021,2021-06-18,0.0
s686,2021,2021-06-18,0.0
s687,2021,2021-06-18,0.0
s688,2021,2021-06-18,0.0
s689,2020,2021-06-18,1.0
s690,1981,2021-06-18,40.0
s691,2021,2021-06-18,0.0
s692,2021,2021-06-18,0.0
s693,2021,2021-06-18,0.0
s694,2021,2021-06-17,0.0
s695,2019,2021-06-17,2.0
s696,2015,2021-06-17,6.0
s697,2021,2021-06-17,0.0
s698,2021,2021-06-17,0.0
s699,2020,2021-06-17,1.0
s700,2021,2021-06-17,0.0
s701,2021,2021-06-17,0.0
s702,2019,2021-06-17,2.0
s703,2012,2021-06-17,9.0
s704,2021,2021-06-17,0.0
s705,2018,2021-06-16,3.0
s706,2019,2021-06-16,2.0
s707,2021,2021-06-16,0.0
s708,2021,2021-06-16,0.0
s709,2016,2021-06-16,5.0
s710,2020,2021-06-16,1.0
s711,2021,2021-06-16,0.0
s712,2021,2021-06-16,0.0
s713,2020,2021-06-16,1.0
s714,2020,2021-06-15,1.0
s715,2021,2021-06-15,0.0
s716,2021,2021-06-15,0.0
s717,1972,2021-06-15,49.0
s718,2021,2021-06-15,0.0
s719,2013,2021-06-15,8.0
s720,2021,2021-06-15,0.0
s721,2021,2021-06-15,0.0
s722,2020,2021-06-15,1.0
s723,2005,2021-06-15,16.0
s724,2014,2021-06-15,7.0
s725,2021,2021-06-15,0.0
s726,2021,2021-06-14,0.0
s727,2014,2021-06-13,7.0
s728,2020,2021-06-13,1.0
s729,2021,2021-06-13,0.0
s730,2021,2021-06-12,0.0
s731,2021,2021-06-12,0.0
s732,2021,2021-06-12,0.0
s733,2021,2021-06-12,0.0
s734,2016,2021-06-11,5.0
s735,2021,2021-06-11,0.0
s736,2021,2021-06-11,0.0
s737,2021,2021-06-11,0.0
s738,2021,2021-06-11,0.0
s739,2021,2021-06-11,0.0
s740,2021,2021-06-11,0.0
s741,2014,2021-06-10,7.0
s742,2012,2021-06-10,9.0
s743,2021,2021-06-10,0.0
s744,2014,2021-06-10,7.0
s745,2021,2021-06-10,0.0
s746,2019,2021-06-10,2.0
s747,2021,2021-06-09,0.0
s748,2013,2021-06-09,8.0
s749,2021,2021-06-09,0.0
s750,2021,2021-06-09,0.0
s751,2021,2021-06-09,0.0
s752,2018,2021-06-08,3.0
s753,2014,2021-06-07,7.0
s754,2007,2021-06-06,14.0
s755,2018,2021-06-05,3.0
s756,2021,2021-06-05,0.0
s757,2020,2021-06-05,1.0
s758,2021,2021-06-04,0.0
s759,2021,2021-06-04,0.0
s760,2015,2021-06-04,6.0
s761,2015,2021-06-04,6.0
s762,2021,2021-06-04,0.0
s763,2021,2021-06-04,0.0
s764,2021,2021-06-04,0.0
s765,2021,2021-06-04,0.0
s766,2021,2021-06-04,0.0
s767,2021,2021-06-03,0.0
s768,2021,2021-06-03,0.0
s769,2021,2021-06-03,0.0
s770,2020,2021-06-03,1.0
s771,2021,2021-06-03,0.0
s772,2021,2021-06-03,0.0
s773,2021,2021-06-03,0.0
s774,2019,2021-06-03,2.0
s775,2020,2021-06-02,1.0
s776,2012,2021-06-02,9.0
s777,2001,2021-06-02,20.0
s778,2009,2021-06-02,12.0
s779,2013,2021-06-02,8.0
s780,2000,2021-06-02,21.0
s781,2019,2021-06-02,2.0
s782,2021,2021-06-02,0.0
s783,1997,2021-06-02,24.0
s784,2021,2021-06-02,0.0
s785,2011,2021-06-02,10.0
s786,2021,2021-06-02,0.0
s787,2013,2021-06-02,8.0
s788,2003,2021-06-02,18.0
s789,2001,2021-06-02,20.0
s790,2015,2021-06-02,6.0
s791,2015,2021-06-02,6.0
s792,2008,2021-06-02,13.0
s793,2010,2021-06-02,11.0
s794,1997,2021-06-02,24.0
s795,2019,2021-06-02,2.0
s796,2012,2021-06-02,9.0
s797,2011,2021-06-02,10.0
s798,2001,2021-06-02,20.0
s799,1997,2021-06-02,24.0
s800,2004,2021-06-02,17.0
s801,2012,2021-06-02,9.0
s802,2011,2021-06-02,10.0
s803,2009,2021-06-02,12.0
s804,2006,2021-06-02,15.0
s805,2006,2021-06-02,15.0
s806,2021,2021-06-02,0.0
s807,2017,2021-06-02,4.0
s808,2017,2021-06-02,4.0
s809,2014,2021-06-02,7.0
s810,2004,2021-06-02,17.0
s811,1984,2021-06-02,37.0
s812,2021,2021-06-02,0.0
s813,2001,2021-06-02,20.0
s814,1993,2021-06-02,28.0
s815,1981,2021-06-02,40.0
s816,2015,2021-06-02,6.0
s817,2005,2021-06-02,16.0
s818,2015,2021-06-02,6.0
s819,1996,2021-06-02,25.0
s820,1976,2021-06-02,45.0
s821,2021,2021-06-02,0.0
